Property,Time,Value
RightFootQ.y,2.46666700,0.50104550
RightFootQ.y,3.28333400,0.49941330
RightFootQ.y,4.11666700,0.49756800
RightFootQ.y,4.93333300,0.49934180
RightFootQ.y,5.75000000,0.50224730
RightFootQ.y,6.58333300,0.50048970
RightFootQ.y,7.40000100,0.50049210
RightFootQ.y,8.23333400,0.49979790
RightFootQ.y,8.33333400,0.50000010
RightFootQ.z,0.00000000,-0.50000010
RightFootQ.z,0.81666670,-0.50074710
RightFootQ.z,1.63333300,-0.49879630
RightFootQ.z,2.46666700,-0.49847690
RightFootQ.z,3.28333400,-0.50037520
RightFootQ.z,4.11666700,-0.50279860
RightFootQ.z,4.93333300,-0.50078850
RightFootQ.z,5.75000000,-0.49597510
RightFootQ.z,6.58333300,-0.49647670
RightFootQ.z,7.40000100,-0.49788720
RightFootQ.z,8.23333400,-0.50011340
RightFootQ.z,8.33333400,-0.49999990
RightFootQ.w,0.00000000,0.50000010
RightFootQ.w,0.81666670,0.49932480
RightFootQ.w,1.63333300,0.50277290
RightFootQ.w,2.46666700,0.50452090
RightFootQ.w,3.28333400,0.50311290
RightFootQ.w,4.11666700,0.50025150
RightFootQ.w,4.93333300,0.50191550
RightFootQ.w,5.75000000,0.50540270
RightFootQ.w,6.58333300,0.50484930
RightFootQ.w,7.40000100,0.50288860
RightFootQ.w,8.23333400,0.50046230
RightFootQ.w,8.33333400,0.49999990
LeftHandT.x,0.00000000,-0.21526550
LeftHandT.x,0.81666670,-0.21509100
LeftHandT.x,1.63333300,-0.21397260
LeftHandT.x,2.46666700,-0.21351370
LeftHandT.x,3.28333400,-0.21526050
LeftHandT.x,4.11666700,-0.21577440
LeftHandT.x,4.93333300,-0.21394320
LeftHandT.x,5.75000000,-0.21085860
LeftHandT.x,6.58333300,-0.21236930
LeftHandT.x,7.21666700,-0.21438570
LeftHandT.x,8.05000000,-0.21531440
LeftHandT.x,8.33333400,-0.21526480
LeftHandT.y,0.00000000,-0.11433460
LeftHandT.y,0.81666670,-0.10954990
LeftHandT.y,1.63333300,-0.10175250
LeftHandT.y,2.46666700,-0.10103180
LeftHandT.y,3.28333400,-0.10857100
LeftHandT.y,4.11666700,-0.11428410
LeftHandT.y,4.93333300,-0.10836240
LeftHandT.y,5.75000000,-0.10022690
LeftHandT.y,6.58333300,-0.10299390
LeftHandT.y,7.40000100,-0.10974340
LeftHandT.y,8.23333400,-0.11432510
LeftHandT.y,8.33333400,-0.11433460
LeftHandT.z,0.00000000,-0.05488770
