Property,Time,Value
Spine Front-Back,0.18333330,-0.04533515
Spine Front-Back,0.23333330,-0.03204266
Spine Front-Back,0.26666670,-0.02144811
Spine Front-Back,0.28333340,-0.01730718
Spine Front-Back,0.30000000,-0.01506541
Spine Front-Back,0.31666670,-0.01639853
Spine Front-Back,0.33333330,-0.01966104
Spine Front-Back,0.35000000,-0.02471287
Spine Front-Back,0.36666670,-0.02867820
Spine Front-Back,0.38333340,-0.02769886
Spine Front-Back,0.40000000,-0.02464881
Spine Front-Back,0.41666670,-0.02042778
Spine Front-Back,0.43333340,-0.01710483
Spine Front-Back,0.45000000,-0.01854383
Spine Front-Back,0.46666670,-0.02023076
Spine Front-Back,0.48333330,-0.01855722
Spine Front-Back,0.50000000,-0.01466547
Spine Front-Back,0.51666670,-0.00791589
Spine Front-Back,0.53333340,-0.00000013
Spine Left-Right,0.00000000,-0.00000043
Spine Left-Right,0.01666667,-0.01774065
Spine Left-Right,0.03333334,-0.03355798
Spine Left-Right,0.06666667,-0.05133420
Spine Left-Right,0.10000000,-0.05047249
Spine Left-Right,0.11666670,-0.03856369
Spine Left-Right,0.13333330,-0.02356202
Spine Left-Right,0.15000000,-0.00943172
Spine Left-Right,0.16666670,0.00244895
Spine Left-Right,0.18333330,0.00786141
Spine Left-Right,0.20000000,0.01041045
Spine Left-Right,0.21666670,0.01320456
Spine Left-Right,0.23333330,0.01391534
Spine Left-Right,0.25000000,0.01065526
Spine Left-Right,0.26666670,0.00522208
Spine Left-Right,0.28333340,-0.00192156
Spine Left-Right,0.30000000,-0.00858468
Spine Left-Right,0.31666670,-0.01248126
Spine Left-Right,0.33333330,-0.01346584
Spine Left-Right,0.35000000,-0.01008739
Spine Left-Right,0.36666670,-0.00406785
Spine Left-Right,0.38333340,0.00371845
Spine Left-Right,0.40000000,0.01215961
Spine Left-Right,0.43333340,0.02683000
Spine Left-Right,0.46666670,0.03548212
Spine Left-Right,0.48333330,0.03334264
Spine Left-Right,0.50000000,0.02677272
Spine Left-Right,0.51666670,0.01450980
Spine Left-Right,0.53333340,-0.00000124
Spine Twist Left-Right,0.00000000,-0.00000017
Spine Twist Left-Right,0.01666667,0.01158224
Spine Twist Left-Right,0.06666667,0.03455626
Spine Twist Left-Right,0.08333334,0.03383502
Spine Twist Left-Right,0.10000000,0.02803402
Spine Twist Left-Right,0.11666670,0.01549049
Spine Twist Left-Right,0.13333330,0.00012270
Spine Twist Left-Right,0.15000000,-0.01528359
Spine Twist Left-Right,0.16666670,-0.02930652
Spine Twist Left-Right,0.20000000,-0.04659163
Spine Twist Left-Right,0.23333330,-0.05381412
Spine Twist Left-Right,0.26666670,-0.04420703
Spine Twist Left-Right,0.30000000,-0.02377361
Spine Twist Left-Right,0.31666670,-0.01385374
Spine Twist Left-Right,0.33333330,-0.00482630
Spine Twist Left-Right,0.35000000,0.00273211
Spine Twist Left-Right,0.38333340,0.01224877
Spine Twist Left-Right,0.40000000,0.01325489
Spine Twist Left-Right,0.41666670,0.01033504
Spine Twist Left-Right,0.43333340,0.00498703
Spine Twist Left-Right,0.45000000,-0.00252969
Spine Twist Left-Right,0.46666670,-0.00959613
Spine Twist Left-Right,0.48333330,-0.01376658
Spine Twist Left-Right,0.50000000,-0.01433821
Spine Twist Left-Right,0.51666670,-0.00839121
Spine Twist Left-Right,0.53333340,-0.00000034
Chest Front-Back,0.00000000,0.00000009
Chest Front-Back,0.01666667,-0.00075118
Chest Front-Back,0.03333334,-0.00135944
Chest Front-Back,0.05000000,-0.00162804
Chest Front-Back,0.06666667,-0.00158530
Chest Front-Back,0.08333334,-0.00173543
Chest Front-Back,0.10000000,-0.00044529
Chest Front-Back,0.11666670,0.00448399
Chest Front-Back,0.15000000,0.01762190
Chest Front-Back,0.16666670,0.02344351
Chest Front-Back,0.25000000,0.01907183
Chest Front-Back,0.28333340,0.01060247
Chest Front-Back,0.30000000,0.00702661
Chest Front-Back,0.31666670,0.00478681
Chest Front-Back,0.33333330,0.00367390
Chest Front-Back,0.35000000,0.00385161
Chest Front-Back,0.36666670,0.00494431
Chest Front-Back,0.40000000,0.00891117
Chest Front-Back,0.41666670,0.01007467
Chest Front-Back,0.43333340,0.01031042
Chest Front-Back,0.46666670,0.00685917
Chest Front-Back,0.48333330,0.00515782
Chest Front-Back,0.53333340,0.00000009
Chest Left-Right,0.00000000,-0.00000017
Chest Left-Right,0.01666667,0.00504530
Chest Left-Right,0.03333334,0.00938511
Chest Left-Right,0.05000000,0.01217504
Chest Left-Right,0.06666667,0.01312463
Chest Left-Right,0.10000000,0.00777770
Chest Left-Right,0.13333330,-0.00058423
Chest Left-Right,0.15000000,-0.00550133
Chest Left-Right,0.16666670,-0.01007444
